accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR35751535	SRP630746	new	PRJNA1338475	SAMN52440889	18RB78	Run 1_3_18RB78	"= ""ddRAD data of Chrysoblephus puniceus: "" & A31"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB78.1.fq.gz	18RB78.2.fq.gz				
SRR35751533	SRP630746	new	PRJNA1338475	SAMN52440890	18RB53	Run 1_3_18RB53	"= ""ddRAD data of Chrysoblephus puniceus: "" & A32"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB53.1.fq.gz	18RB53.2.fq.gz				
SRR35751532	SRP630746	new	PRJNA1338475	SAMN52440891	18RB83	Run 1_3_18RB83	"= ""ddRAD data of Chrysoblephus puniceus: "" & A33"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB83.1.fq.gz	18RB83.2.fq.gz				
SRR35751531	SRP630746	new	PRJNA1338475	SAMN52440892	18RB40	Run 1_3_18RB40	"= ""ddRAD data of Chrysoblephus puniceus: "" & A34"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB40.1.fq.gz	18RB40.2.fq.gz				
SRR35751530	SRP630746	new	PRJNA1338475	SAMN52440893	18RB61	Run 1_3_18RB61	"= ""ddRAD data of Chrysoblephus puniceus: "" & A35"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB61.1.fq.gz	18RB61.2.fq.gz				
SRR35751529	SRP630746	new	PRJNA1338475	SAMN52440894	18RB63	Run 1_3_18RB63	"= ""ddRAD data of Chrysoblephus puniceus: "" & A36"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB63.1.fq.gz	18RB63.2.fq.gz				
SRR35751528	SRP630746	new	PRJNA1338475	SAMN52440895	18RB68	Run 1_3_18RB68	"= ""ddRAD data of Chrysoblephus puniceus: "" & A37"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB68.1.fq.gz	18RB68.2.fq.gz				
SRR35751527	SRP630746	new	PRJNA1338475	SAMN52440896	12RB2	Run 2_4_12RB2	"= ""ddRAD data of Chrysoblephus puniceus: "" & A38"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB2.1.fq.gz	12RB2.2.fq.gz				
SRR35751526	SRP630746	new	PRJNA1338475	SAMN52440897	12RB8	Run 2_4_12RB8	"= ""ddRAD data of Chrysoblephus puniceus: "" & A39"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB8.1.fq.gz	12RB8.2.fq.gz				
SRR35751525	SRP630746	new	PRJNA1338475	SAMN52440898	12RB9	Run 2_4_12RB9	"= ""ddRAD data of Chrysoblephus puniceus: "" & A40"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB9.1.fq.gz	12RB9.2.fq.gz				
SRR35751524	SRP630746	new	PRJNA1338475	SAMN52440899	12RB10	Run 2_4_12RB10	"= ""ddRAD data of Chrysoblephus puniceus: "" & A41"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB10.1.fq.gz	12RB10.2.fq.gz				
SRR35751522	SRP630746	new	PRJNA1338475	SAMN52440900	12RB11	Run 2_4_12RB11	"= ""ddRAD data of Chrysoblephus puniceus: "" & A42"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB11.1.fq.gz	12RB11.2.fq.gz				
SRR35751617	SRP630746	new	PRJNA1338475	SAMN52440901	12RB16	Run 2_4_12RB16	"= ""ddRAD data of Chrysoblephus puniceus: "" & A43"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB16.1.fq.gz	12RB16.2.fq.gz				
SRR35751616	SRP630746	new	PRJNA1338475	SAMN52440902	12RB17	Run 2_4_12RB17	"= ""ddRAD data of Chrysoblephus puniceus: "" & A44"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB17.1.fq.gz	12RB17.2.fq.gz				
SRR35751615	SRP630746	new	PRJNA1338475	SAMN52440903	12RB33	Run 2_4_12RB33	"= ""ddRAD data of Chrysoblephus puniceus: "" & A45"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB33.1.fq.gz	12RB33.2.fq.gz				
SRR35751614	SRP630746	new	PRJNA1338475	SAMN52440904	12RB40	Run 2_4_12RB40	"= ""ddRAD data of Chrysoblephus puniceus: "" & A46"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB40.1.fq.gz	12RB40.2.fq.gz				
SRR35751613	SRP630746	new	PRJNA1338475	SAMN52440905	12RB41	Run 2_4_12RB41	"= ""ddRAD data of Chrysoblephus puniceus: "" & A47"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB41.1.fq.gz	12RB41.2.fq.gz				
SRR35751612	SRP630746	new	PRJNA1338475	SAMN52440906	12RB51	Run 2_4_12RB51	"= ""ddRAD data of Chrysoblephus puniceus: "" & A48"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB51.1.fq.gz	12RB51.2.fq.gz				
SRR35751611	SRP630746	new	PRJNA1338475	SAMN52440907	12RB55	Run 2_4_12RB55	"= ""ddRAD data of Chrysoblephus puniceus: "" & A49"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB55.1.fq.gz	12RB55.2.fq.gz				
SRR35751610	SRP630746	new	PRJNA1338475	SAMN52440908	12RB58	Run 1_5_12RB58	"= ""ddRAD data of Chrysoblephus puniceus: "" & A50"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB58.1.fq.gz	12RB58.2.fq.gz				
SRR35751609	SRP630746	new	PRJNA1338475	SAMN52440909	12RB59	Run 1_5_12RB59	"= ""ddRAD data of Chrysoblephus puniceus: "" & A51"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB59.1.fq.gz	12RB59.2.fq.gz				
SRR35751607	SRP630746	new	PRJNA1338475	SAMN52440910	12RB60	Run 1_5_12RB60	"= ""ddRAD data of Chrysoblephus puniceus: "" & A52"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB60.1.fq.gz	12RB60.2.fq.gz				
SRR35751606	SRP630746	new	PRJNA1338475	SAMN52440911	12RB66	Run 1_5_12RB66	"= ""ddRAD data of Chrysoblephus puniceus: "" & A53"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB66.1.fq.gz	12RB66.2.fq.gz				
SRR35751605	SRP630746	new	PRJNA1338475	SAMN52440912	12RB67	Run 1_5_12RB67	"= ""ddRAD data of Chrysoblephus puniceus: "" & A54"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB67.1.fq.gz	12RB67.2.fq.gz				
SRR35751604	SRP630746	new	PRJNA1338475	SAMN52440913	12RB69	Run 1_5_12RB69	"= ""ddRAD data of Chrysoblephus puniceus: "" & A55"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB69.1.fq.gz	12RB69.2.fq.gz				
SRR35751603	SRP630746	new	PRJNA1338475	SAMN52440914	12RB70	Run 1_5_12RB70	"= ""ddRAD data of Chrysoblephus puniceus: "" & A56"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB70.1.fq.gz	12RB70.2.fq.gz				
SRR35751602	SRP630746	new	PRJNA1338475	SAMN52440915	12RB71	Run 1_5_12RB71	"= ""ddRAD data of Chrysoblephus puniceus: "" & A57"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB71.1.fq.gz	12RB71.2.fq.gz				
SRR35751585	SRP630746	new	PRJNA1338475	SAMN52440916	12RB72	Run 1_5_12RB72	"= ""ddRAD data of Chrysoblephus puniceus: "" & A58"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB72.1.fq.gz	12RB72.2.fq.gz				
SRR35751584	SRP630746	new	PRJNA1338475	SAMN52440917	12RB73	Run 1_5_12RB73	"= ""ddRAD data of Chrysoblephus puniceus: "" & A59"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB73.1.fq.gz	12RB73.2.fq.gz				
SRR35751583	SRP630746	new	PRJNA1338475	SAMN52440918	12RB75	Run 1_5_12RB75	"= ""ddRAD data of Chrysoblephus puniceus: "" & A60"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	12RB75.1.fq.gz	12RB75.2.fq.gz				
